"1st Test. 79.6: R Ashwin to S O'Keefe (0), 4 runs, 264/8 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"2nd Test. 120.2: WICKET! N Lyon (0) is out, lbw Ravindra Jadeja, 274/9 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"115.4: WICKET! R Ashwin (3) is out, c Matthew Wade b Pat Cummins, 328/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
#TeamIndia go into lunch on Day 3 with 38/0 on the board. Trail Australia (276) by 49 runs #INDvAUS https://t.co/NS5jXogYPc
It's a lovely sunny morning here in Bengaluru as #TeamIndia gather in a huddle before preparations begin on Test ma… https://t.co/lUwVwyhhZH
FIFTY! @cheteshwar1 brings up his 15th Test 50 @Paytm #INDvAUS https://t.co/v2u0OUAlXz
"2nd Test. 67.6: N Lyon to A Rahane (39), 4 runs, 205/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
RT @RaviShastriOfc: SHAZ IS HERE !!! https://t.co/GFRWvkFdnl
"1st Test. 28.5: WICKET! C Pujara (31) is out, lbw Steve O'Keefe, 100/7 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"3rd Test. 103.6: R Jadeja to M Wade (5), 4 runs, 345/5 https://t.co/d3NMQQU2fD #IndvAus @Paytm"
Thank you Pune! We will be back! #TeamIndia #INDvAUS @Paytm Test cricket https://t.co/eaBYnHO6Le
"3rd Test. 85.6: R Ashwin to G Maxwell (74), 4 runs, 288/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 64.2: N Lyon to M Vijay (70), 4 runs, 165/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 24.1: I Sharma to P Handscomb (15), 4 runs, 89/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
Day ✌🏻#TeamIndia #INDvAUS @Paytm Test Cricket https://t.co/mrmjPlrigf
In deep conversation before the start of Day 2 #INDvAUS https://t.co/fCbnEUU1V0
Scores level #INDvAUS https://t.co/FyrBMI05qL
"3rd Test. 195.5: N Lyon to R Jadeja (8), 4 runs, 541/7 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
India batsman @klrahul11 took some time to meet and greet a few differently abled kids who had gathered to watch… https://t.co/sY3nZoLSj3
"100.2: WICKET! S Marsh (67) is out, c Karun Nair b Umesh Yadav, 220/6 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"1st Test. 26.1: S O'Keefe to W Saha (4), 4 runs, 95/5 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"115.4: WICKET! M Wade (37) is out, c Wriddhiman Saha b Ravindra Jadeja, 395/6"
"134.3: WICKET! S O'Keefe (25) is out, c Murali Vijay b Umesh Yadav, 446/8 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"35.4: WICKET! N Lyon (2) is out, c &amp; b Ravichandran Ashwin, 112 all out https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
RT @tiwarymanoj: What an outstanding partnership @cheteshwar1 &amp; @Wriddhipops. Congratulations both on well deserved milestones 👍 @BCCI
"RT @cheteshwar1: It was hard fought victory for us,TEAM INDIA is back in the series with a bang,come on guys lets do it @BCCI https://t.co/…"
"2nd Test. 1.3: J Hazlewood to L Rahul (10), 4 runs, 11/0 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
Rise and shine! Did anyone predict a thunderstorm? #INDvAUS @Paytm Test cricket https://t.co/T9X5MwXPet
"91.2: WICKET! S Marsh (53) is out, c Murali Vijay b Ravindra Jadeja, 187/5"
"71.2: WICKET! I Sharma (0) is out, c Peter Handscomb b Nathan Lyon, 189 all out"
How's that for a grab from @Wriddhipops #TeamIndia #INDvAUS https://t.co/JVKnnlKBRF
READ: BCCI and Cricket Australia partner for Exchange Programs https://t.co/e0ATIdQKfn https://t.co/BliLae0MlE
"3rd Test. 19.4: N Lyon to M Vijay (18), 4 runs, 60/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"1st Test. 21.6: N Lyon to A Rahane (18), 4 runs, 76/3 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
No.3 and No.4 in full flow. How's that for a drive from @cheteshwar1 and a pull from @imVkohli #TeamIndia #INDvAUS https://t.co/TcQrpNAKdK
"2nd Test. 21.3: N Lyon to L Rahul (42), 4 runs, 57/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 54.5: I Sharma to S Marsh (14), 4 runs, 105/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
I want youngsters to know and respect how great he was to Indian Cricket #Naman
RT @GautamGambhir: Congratulations #TeamIndia A complete team effort. Totally deserved. Onwards and upwards from here. #IndvAus https://t.c…
"2nd Test. 11.5: R Ashwin to S Marsh (6), 4 runs, 58/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
NEWS ALERT - Mr. Rajinder Goel and Mr. Padmakar Shivalkar nominated for Col. CK Nayudu Lifetime Achievement Award #NAMAN #BCCIawards
"193.2: WICKET! C Pujara (202) is out, c Glenn Maxwell b Nathan Lyon, 527/7"
"3rd Test. 82.1: P Cummins to C Pujara (70), 4 runs, 230/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"AUS XI: D Warner, M Renshaw, S Smith, S Marsh, P Handscomb, G Maxwell, M Wade, P Cummins, S O'Keefe, N Lyon, J Hazlewood"
"Former wicket-keeper, batsman Farokh Engineer is delivering the 5th MAK Pataudi Lecture #Naman https://t.co/etzq1S5Rf8"
"71.1: WICKET! L Rahul (90) is out, c Matt Renshaw b Nathan Lyon, 189/9 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"1st Test. 21.1: N Lyon to C Pujara (21), 4 runs, 71/3 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"27.5: WICKET! M Wade (0) is out, c Wriddhiman Saha b Ravichandran Ashwin, 101/6"
"3rd Test. 42.2: WICKET! P Handscomb (19) is out, lbw Umesh Yadav, 140/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 7.6: R Ashwin to D Warner (16), 6 runs, 40/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 2.2: R Ashwin to D Warner (13), 4 runs, 16/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
He's ecstatic! @imjadeja with another five-wicket haul @Paytm Test Cricket #INDvAUS https://t.co/2U12d5gCnu
Look who's come to watch the game #INDvAUS https://t.co/vtpIwDvRXg
"2nd Test. 97.3: R Jadeja to M Wade (17), 4 runs, 210/5 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
READ: When Starc brought back memories of Sydney 2015 for @klrahul11. Interview by @28anand https://t.co/d5u86wErqy… https://t.co/RiKGBLoSDv
"3rd Test. 98.6: U Yadav to G Maxwell (103), 4 runs, 328/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"22.3: WICKET! A Rahane (18) is out, c Nathan Lyon b Steve O'Keefe, 77/4 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"1st Test. 9.6: N Lyon to C Pujara (1), 4 runs, 26/2 https://t.co/Px6Gu389Tp #IndvAus @Paytm"
"3rd Test. 196.5: S O'Keefe to R Jadeja (12), 4 runs, 546/8 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"27.5: WICKET! C Pujara (17) is out, c Peter Handscomb b Nathan Lyon, 72/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 0.5: M Starc to L Rahul (5), 4 runs, 6/0 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 107.4: WICKET! K Nair (23) is out, b Josh Hazlewood, 320/5 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 3.5: U Yadav to M Renshaw (12), 4 runs, 15/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"86.6: WICKET! S O'Keefe (6) is out, c Wriddhiman Saha b Ravindra Jadeja, 285 all out"
"3rd Test. 83.4: R Ashwin to S Smith (107), 4 runs, 277/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 33.1: R Jadeja to S Marsh (12), 4 runs, 77/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"The warrior in @imjadeja celebrates #INDvAUS. India have also declared their innings on 603/9, lead Australia (451)… https://t.co/5eU0qO1lc0"
"3rd Test. 98.4: R Ashwin to M Wade (9), 4 runs, 200/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 112.4: S O'Keefe to C Pujara (117), 4 runs, 326/5 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 7.2: WICKET! N Lyon (2) is out, b Ravindra Jadeja, 23/2 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 58.5: J Hazlewood to R Ashwin (4), 4 runs, 167/5 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 118.2: S O'Keefe to W Saha (4), 4 runs, 333/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"At Tea on Day 3 of the 1st Test, India (105 &amp; 99/6). Follow the game here - https://t.co/Px6Gu2Qz1R #INDvAUS https://t.co/8jgBmQSAhf"
"66.3: WICKET! M Renshaw (60) is out, st Wriddhiman Saha b Ravindra Jadeja, 134/3"
"That's lunch on Day 2 of the 3rd @Paytm Test. Australia are 401/7 (Smith 153*, Maxwell 104). Follow the game here -… https://t.co/V6YfI1mp5a"
"3rd Test. 6.6: R Ashwin to M Renshaw (24), 4 runs, 36/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
RT @harbhajan_singh: Well done @cheteshwar1  @Wriddhipops top stuff another 100 runs stand will be really good guys. Keep going strong Guys…
RT @chopraanjum: Yipeee!!!! 💃🏻💃🏻. India wins the test match. #INDvsAUS. Well done team @BCCI 🇮🇳🇮🇳🇮🇳🇮🇳.
"3rd Test. 20.4: J Hazlewood to L Rahul (46), 4 runs, 66/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 108.1: U Yadav to M Wade (16), 4 runs, 368/5 https://t.co/d3NMQQU2fD #IndvAus @Paytm"
"3rd Test. 25.2: R Jadeja to M Renshaw (15), 4 runs, 58/2 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 77.3: R Jadeja to P Handscomb (56), 4 runs, 170/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"208.2: WICKET! U Yadav (16) is out, c David Warner b Steve O'Keefe, 595/9 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Nice and overcast. Wouldn't mind rolling your arm over skipper? #TeamIndia #INDvAUS @Paytm Test cricket https://t.co/dajdCbgK4o
"2nd Test. 53.2: R Ashwin to S Marsh (9), 4 runs, 96/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 130.6: U Yadav to S O'Keefe (24), 4 runs, 440/7 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 56.4: R Ashwin to P Handscomb (25), 4 runs, 127/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 56.1: J Hazlewood to C Pujara (55), 4 runs, 167/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 94.4: S O'Keefe to C Pujara (104), 4 runs, 290/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 67.2: N Lyon to L Rahul (87), 4 runs, 185/7 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"117.6: WICKET! M Starc (26) is out, c Ravindra Jadeja b Ravichandran Ashwin, 269/7"
"3rd Test. 90.5: S O'Keefe to C Pujara (95), 4 runs, 276/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
VIDEO: Why did Virat Kohli leave THAT ball? @sanjaymanjrekar explains.. https://t.co/lNUICtD7PD #INDvAUS
"2nd Test. 3.2: U Yadav to M Renshaw (8), 4 runs, 14/0 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
BAAM! The @klrahul11 flourish #TeamIndia #INDvAUS https://t.co/duKwhVz55Y
"2nd Test. 24.3: I Sharma to M Marsh (9), 4 runs, 94/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 5.1: WICKET! D Warner (14) is out, b Ravindra Jadeja, 17/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 43.3: R Ashwin to S Marsh (27), 4 runs, 101/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 94.6: U Yadav to G Maxwell (98), 4 runs, 322/4 https://t.co/d3NMQQU2fD #IndvAus @Paytm"
"TEAM for last two #INDvAUS Tests: Virat (C),Vijay,Rahul,Pujara,Rahane, Nair, Ashwin, Jadeja, Saha,Ishant,Umesh,Jayant,Bhuvi, Kuldeep, Mukund"
Any guesses for what's all the talk about? #TeamIndia #INDvAUS @Paytm Test cricket https://t.co/whun9uo9nG
"76.4: WICKET! P Handscomb (16) is out, c Ravichandran Ashwin b Ravindra Jadeja, 160/4"
Mr. Consistent @cheteshwar1 brings up his 11th Test ton in style #INDvAUS https://t.co/v82cSs1u3Y
"3rd Test. 4.5: I Sharma to M Renshaw (16), 4 runs, 22/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"1st Test. 85.4: U Yadav to S O'Keefe (6), 4 runs, 284/9 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"2nd Test. 84.4: WICKET! K Nair (0) is out, b Mitchell Starc, 238/6 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 22.2: M Starc to L Rahul (47), 4 runs, 78/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"22.3: WICKET! M Renshaw (44) is out, c Virat Kohli b Umesh Yadav, 80/2 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Play on Day 3 ends &amp; @cheteshwar1 remains unconquered on 130 with @Wriddhipops on 18. #TeamIndia 360/6 and trail by… https://t.co/iFyI1LTI37
"3rd Test. 126.4: R Ashwin to S O'Keefe (14), 4 runs, 426/7 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"Watch @BrettLee_58's one minute preview of the 2nd Test #INDvAUS
",https://t.co/Qa15AWVxaK
"3rd Test. 76.6: U Yadav to G Maxwell (57), 4 runs, 249/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 1.1: U Yadav to D Warner (5), 4 runs, 5/0 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"At Tea on Day 1 of the 2nd @Paytm Test, India are 168/5 (Rahul 79*, Ashwin 5*). Follow the game here -… https://t.co/LpSVkERL8I"
"RT @MohammadKaif: WHAT A MATCH !
","Kohli will remember this for a long time, as will everyone who witnessed this.
",#IndvAus
"1st Test. 5.2: N Lyon to L Rahul (10), 4 runs, 16/1 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"UPDATE: @imjadeja claims No.1 spot for bowlers, @cheteshwar1 acquires career best 2nd place for batting in latest I… https://t.co/NeHqxH54Sg"
"3rd Test. 73.4: R Jadeja to G Maxwell (51), 6 runs, 240/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 21.4: N Lyon to L Rahul (52), 4 runs, 73/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 18.2: J Hazlewood to L Rahul (37), 4 runs, 64/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 55.5: S O'Keefe to K Nair (21), 4 runs, 148/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 12.2: R Ashwin to M Renshaw (33), 4 runs, 58/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Always a pleasant meet when @ImRo45 is around! #TeamIndia https://t.co/YNiEV1LQcz
"That's lunch on Day 4 and #TeamIndia are on 435/6 (Pujara 164*, Saha 59*), trail Australia (451) by 16 runs #INDvAUS https://t.co/YkyjczWFVR"
Good vibes #TeamIndia #INDvAUS https://t.co/BJYNmBtMwU
"1st Test. 24.4: WICKET! R Ashwin (8) is out, lbw Steve O'Keefe, 89/5 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"25.1: WICKET! S Marsh (2) is out, c Cheteshwar Pujara b Ravichandran Ashwin, 89/3"
"3rd Test. 102.4: I Sharma to S Smith (130), 4 runs, 337/5 https://t.co/d3NMQQU2fD #IndvAus @Paytm"
"3rd Test. 86.5: R Ashwin to S Marsh (52), 4 runs, 180/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
The @imjadeja willow flourish #INDvAUS #TeamIndia @Paytm Test cricket https://t.co/RHQ9lBMLmx
"Steve Smith's unusual stance decoded. @sanjaymanjrekar on Aussie captain's batting stance that has everyone talking 
",https://t.co/6jMu8qbyju
"3rd Test. 110.4: R Ashwin to M Wade (24), 4 runs, 378/5 https://t.co/d3NMQQU2fD #IndvAus @Paytm"
VIDEO: #TeamIndia opener @klrahul11 gives an insight of what happens during the team's net sessions https://t.co/89OEAGT3WV #INDvAUS
"3rd Test. 128.1: S O'Keefe to W Saha (17), 4 runs, 359/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 0.4: R Ashwin to D Warner (4), 4 runs, 4/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 53.4: R Ashwin to S Marsh (9), 4 runs, 100/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 102.6: I Sharma to S Smith (134), 4 runs, 341/5 https://t.co/d3NMQQU2fD #IndvAus @Paytm"
"2nd Test. 32.1: J Hazlewood to V Kohli (9), 4 runs, 104/2 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 87.3: I Sharma to G Maxwell (79), 4 runs, 294/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 74.3: U Yadav to P Handscomb (50), 4 runs, 163/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
We are here at the M.Chinnaswamy stadium for an optional practice session. Test no.2 a couple of days away… https://t.co/ep33TAsBpb
"3rd Test. 5.1: P Cummins to L Rahul (8), 4 runs, 9/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 93.2: P Cummins to C Pujara (100), 4 runs, 281/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 112.2: I Sharma to M Wade (29), 4 runs, 253/6 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 32.4: I Sharma to P Handscomb (0), 4 runs, 71/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"31.2: WICKET! L Rahul (67) is out, c Matthew Wade b Pat Cummins, 91/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 206.5: S O'Keefe to R Jadeja (46), 6 runs, 586/8 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 40.5: U Yadav to S Marsh (22), 4 runs, 96/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"That's Tea on Day 3! #TeamIndia are 303/4 (Pujara 109*, Nair 13*), trail Australia (451) by 148 runs #INDvAUS https://t.co/jF07E1DbXZ"
"3rd Test. 18.3: J Hazlewood to M Vijay (14), 4 runs, 55/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 90.4: I Sharma to P Handscomb (66), 4 runs, 187/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 162.4: J Hazlewood to C Pujara (169), 4 runs, 444/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 38.1: N Lyon to M Vijay (41), 4 runs, 119/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 24.6: J Hazlewood to L Rahul (59), 4 runs, 80/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 10.1: S O'Keefe to L Rahul (27), 4 runs, 30/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 205.4: N Lyon to R Jadeja (37), 6 runs, 577/8 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 56.1: R Ashwin to P Handscomb (20), 4 runs, 121/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Welcome to our live coverage of the 3rd Test between India and Australia https://t.co/d3NMQQCro5 #IndvAus @Paytm
"3rd Test. 82.4: P Cummins to C Pujara (74), 4 runs, 234/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"#TeamIndia end Day 3 on 213/4 (Pujara 79*, Rahane 40* ), lead Australia (276) by 126 runs #INDvAUS https://t.co/zcKvOxuVEF"
"2nd Test. 16.1: J Hazlewood to C Pujara (9), 4 runs, 59/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"3rd Test. 81.5: R Jadeja to G Maxwell (73), 6 runs, 266/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"At Tea on Day 3 of the 2nd Test, India (189 &amp; 122/4), lead Australia (276) by 35 runs #INDvAUS https://t.co/TamOGUYQkE"
150 comes up for @cheteshwar1 #INDvAUS https://t.co/p7xS96M6kp
Innings Break! India all out for 189 (Rahul 90). Nathan Lyon with figures of 8-50 #INDvAUS https://t.co/4EZWb7aTHZ
"2nd Test. 1.1: R Ashwin to D Warner (1), 4 runs, 10/0 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"At Tea on Day 4, Australia 101/6 need 87 runs - India need 4 wickets to win the 2nd @Paytm Test #INDvAUS https://t.co/JsxMx9nkQo"
"2nd Test. 85.5: WICKET! R Ashwin (4) is out, b Josh Hazlewood, 246/8 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 39.2: N Lyon to C Pujara (38), 4 runs, 130/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 10.4: WICKET! A Mukund (16) is out, b Josh Hazlewood, 39/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"1st Test. 20.5: S O'Keefe to A Rahane (14), 4 runs, 67/3 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
Fourth Test 50 for @klrahul11. This is his third of the series so far @Paytm #INDvAUS https://t.co/qbxUqLyyYu
"3rd Test. 32.5: N Lyon to M Vijay (35), 4 runs, 105/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"FIFTY! A watchful half-century from @klrahul11, his 3rd in Tests @Paytm #INDvAUS https://t.co/3mcKfnWH6l"
"2nd Test. 56.4: M Starc to K Nair (25), 4 runs, 153/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"At Tea on Day 4, India are 503/6. @cheteshwar1 &amp; @Wriddhipops stitch a 175 run partnership from 434 balls. India le… https://t.co/D5aOBtWr5K"
"2nd Test. 57.2: N Lyon to A Rahane (26), 4 runs, 175/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
It is Stumps on Day 1 of the 2nd @Paytm Test. Australia are 40/0 from 16 overs &amp; trail India 189/10 by 149 runs.… https://t.co/t8649UMgd3
#TeamIndia are here for the MAK Pataudi lecture and #BCCIawards #Naman https://t.co/Ja04BTZCSe
"3rd Test. 7.1: P Cummins to L Rahul (13), 4 runs, 15/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"IND XI: L Rahul, A Mukund, C Pujara, V Kohli, A Rahane, K Nair, R Ashwin, W Saha, R Jadeja, U Yadav, I Sharma"
"2nd Test. 35.1: N Lyon to C Pujara (32), 4 runs, 116/3 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
Oh dear! Virat's in a spot of bother. Landed awkwardly chasing down the ball. Ajinkya will stand-in for him as he t… https://t.co/u4tCBSHzlr
"2nd Test. 93.4: R Ashwin to S Marsh (56), 4 runs, 199/5 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"25.6: WICKET! M Marsh (13) is out, c Karun Nair b Ravichandran Ashwin, 101/5"
"Innings break! Australia all out for 276, lead India (189) by 87 runs #INDvAUS https://t.co/ea8Cvs6B5V"
"2nd Test. 18.4: I Sharma to D Warner (32), 4 runs, 50/0 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 61.3: N Lyon to C Pujara (67), 4 runs, 190/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"1st Test. 75.3: R Ashwin to M Starc (24), 6 runs, 252/7 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"3rd Test. 7.4: U Yadav to D Warner (15), 4 runs, 44/0 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"IND XI: L Rahul, M Vijay, C Pujara, V Kohli, A Rahane, K Nair, R Ashwin, W Saha, R Jadeja, U Yadav, I Sharma"
.@imVkohli receives the Polly Umrigar award #Naman https://t.co/eLewm11UVa
"2nd Test. 116.6: R Jadeja to M Wade (37), 4 runs, 267/6 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
Hello beautiful Dharamsala! We are here! #TeamIndia #INDvAUS https://t.co/5NrXzlkXMw
"70.4: WICKET! M Vijay (82) is out, st Matthew Wade b Steve O'Keefe, 193/2 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 134.2: S O'Keefe to C Pujara (136), 4 runs, 374/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 161.2: P Cummins to W Saha (63), 4 runs, 440/6 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"3rd Test. 85.3: R Ashwin to S Smith (113), 4 runs, 283/4 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
"2nd Test. 39.1: N Lyon to C Pujara (34), 4 runs, 126/4 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
Time to regroup and take the field with a recharged energy in Ranchi.Preparations begin for the 3rd Test #TeamIndia… https://t.co/NBYESJZJYx
"3rd Test. 66.1: N Lyon to M Vijay (76), 4 runs, 177/1 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
.@ashwinravi99 receives the Dilip Sardesai award #Naman https://t.co/cW3XtlEfFA
"3rd Test. 28.2: U Yadav to S Smith (27), 4 runs, 101/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
Big day for the bowlers coming up! Marking run-ups @y_umesh before the start of play #INDvAUS #TeamIndia @Paytm Tes… https://t.co/HWbu0y6Pav
"2nd Test. 24.6: M Starc to L Rahul (47), 4 runs, 68/1 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 74.4: R Jadeja to P Handscomb (16), 4 runs, 156/3 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"Time for a break. #TeamIndia are 193/2 at Lunch on Day 3 of the 3rd @Paytm Test, trail Australia (451) by 258 runs… https://t.co/CsWLAXjN14"
"2nd Test. 83.1: I Sharma to M Wade (5), 4 runs, 173/5 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"2nd Test. 120.1: WICKET! M Wade (40) is out, lbw Ravindra Jadeja, 274/8 https://t.co/Qj8RbwMTOS #IndvAus @Paytm"
"1st Test. 15.6: J Hazlewood to C Pujara (12), 4 runs, 45/2 https://t.co/Px6Gu2Qz1R #IndvAus @Paytm"
"At Lunch on Day 1 of the 2nd @Paytm Test, India are 72/2 (Rahul 48*). Follow the game here https://t.co/Qj8RbwMTOS… https://t.co/ITdrtHhNCY"
"3rd Test. 35.1: R Jadeja to S Smith (41), 4 runs, 122/3 https://t.co/d3NMQQCro5 #IndvAus @Paytm"
FIFTY! @cheteshwar1 brings up his 14th Test 50 @Paytm Test Cricket #INDvAUS https://t.co/lbLGpi5HLL
VIDEO: What did @cheteshwar1 do to counter Starc &amp; O'Keefe in the Bengaluru Test. Find out here #TeamIndia #INDvAUS… https://t.co/5K3BUJ3Fd7
